transaction_id,product_name,main_category,item_count,items,source
3036810201280,Dijon Originale Senf,dijon mustards,5,wasser | senfkörner | branntweinessig | speisesalz saverungsmittel: citronensäure | konservierungsstoff: kaliummetabisulfit,Open Food Facts
3038359011450,Panzani sce provencale 425g,provencale sauces,8,carottes | oignons | huile d'olive vierge | amidon | persil | herbes de provence 0 | arômes naturels d'herbes | extrait d'oignon,Open Food Facts
3292070006564,Guacamole Extra,guacamoles,6,piment rouge | crustacés | oeufs | poissons | lait | graines de sésame et mollusques,Open Food Facts
8715700421957,Mayonnaise American Style,groceries,6,huile de colza | vinaigre | amidon | graines de moutarde | épices | antioxydant,Open Food Facts
8410066139231,Tomato Frito,tom,6,tomaten | plantaardige oliën 3 | zonnebloem | suiker | gemodificeerd zetmeel | zout,Open Food Facts
8722700125174,Amora Sauce Burger 260g,groceries,20,huile de colza | vinaigre d'alcool | purée de tomates double concentrée | moutarde (eau | graines de moutarde | arômes | épices | amidon modifié de maïs | sauce worcestershire (eau | sirop de glucose | vinaigre de malt d'orge | extrait d'oignon | anchois | jus de citron concentré | herbes | ail en poudre | jaune d'œuf | épaississant : gomme xanthane | antioxydant : calcium disodium edta | colorant : caroténoïdes,Open Food Facts
6111250474641,Moutarde,groceries,5,graines de moutarde | vinaigre de table | épaississant gomme xanthane | huile de colza | antioxydants acide citrique et disulfite de potassium,Open Food Facts
8076809581868,Pesto Basilico e Pistacchio,cooking sauces,10,olio di girasole | basilico | fibra di mais | siero di latte in polvere | sale | proteine del latte | pistacchi | mandorle | anacardi | aromi naturali,Open Food Facts
87157154,Classic Barbecue - Smokey & Rich,barbecue sauces,12,összetevők paradicsompüré | ételecet | cukor | melasz | ivóvíz | módosított keményítő | étkezési só | fűszerek | fokhagyma | sürítőanyag | füstaroma | aromák,Open Food Facts
3292070006571,Houmous extra citron confit & coriandre,hummus,8,sirop de glucose fructose | saccharose | crustacés | oeufs | poissons | soja | lait | moutarde et mollusques,Open Food Facts
8711200459926,Amora Sauce Crudites Nature,sauces crudites,10,rapeseed oil | apple cider vinegar² (apple cider vinegar | concentrated apple must | corn starch² | egg yolk² | salt² | onion powder² | stabilizer: guar gum² | natural mustard flavour² | ²ingredients of natural origin,Open Food Facts
3478820023641,Sauce tomate Basilic Jardin BIO,groceries,11,tomates (purée de tomates mi réduite | pulpe de tomates | oignons en morceaux | basilic 1 | sel marin | purée d'ail | sucre de canne | huile d'olive vierge extra | huile de tournesol | poivre noir | produits issus de l'agriculture biologique,Open Food Facts
3660603081904,Mayonnaise comme à la maison,groceries,11,huile de colza | moutarde de dijon 8 | graines de moutarde | vinaigre d'alcool | vinaigres | sel 0 | jus de citron à base de concentré | épices 0 | poivre blanc | curcuma | paprika,Open Food Facts
0011210697003,Sriracha Sauce🙂,sweet chili sauces,9,rote jalapeño chilischoten 42 | wasser | zucker | salz | knoblauch 8 | branntweinessig | verdickungsmittel xanthan | rote chilisauce (branntweinessig | rote chilischoten,Open Food Facts
8712100872273,Maille Moutarde Fine De Dijon L'Originale Verrine 165g,groceries,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,Open Food Facts
8076809570596,Barilla sauce tomates cuisinees 400g,groceries,8,pulpe de tomates 40 | concentré de tomates | oignons 12 | huile de tournesol | carottes 3 | arômes naturels | basilic 0 | ail,Open Food Facts
6111184006413,Sauce pizza star 350 g,groceries,3,tomates | concentré de tomate | épices . correcteur d'acidité: contient du céleri,Open Food Facts
8715035110809,Soy Sauce,soy sauces,6,soya bean | vegetable | legume | pulse | soya | wheat,Open Food Facts
20037154,Sauce tomate au basilic,groceries,7,tomates concassées | double concentré de tomates | huile d'olive | oignons | basilic | amidon modifié de maïs | ail,Open Food Facts
50457250,Tomato Ketchup,groceries,3,tomatoes | spirit vinegar | spice and herb extracts,Open Food Facts
4056489470847,Tomato Ketchup,ketchup,6,concentrado doble de tomate | vinagre de alcohol | almidón modificado de maíz | cebolla | ajo | clavo,Open Food Facts
8001060001329,Sauce Arrabiata,arrabbiata sauces,12,purée de tomates | huile de tournesol | tomates séchées | arômes naturels | fructose | vinaigre de vin | oignon en poudre | ail | huile d'olive vierge extra | piment en poudre | poivre noir moulu | correcteur d'acidité: acide lactique,Open Food Facts
3760077538482,Pesto alla Genovese,groceries,10,basilic frais 44 | huile de tournesol | pommes de terre | noix de cajou | fromage grana padano aop | ail | pignons de pin | huile d'olive | jus de citron concentré | fromage pecorino romano aop 0,Open Food Facts
3292070008551,Houmous bio,groceries,6,pois chiches | huile de tournesol | pâte de sesame | graines de sesame grillées | acidifiant (acide citrique | acide lactique). issus de l'agriculture biologique,Open Food Facts
3265479724001,Vinaigrette Balsamique Ciboulette - Echalotes,groceries,17,extra virgin olive oil | rapeseed oil | white wine vinegar | and red wine vinegar | ketchup (semi reduced tomato puée | vinegar | modified starch | acidifier: citric acid | balsamic vinegar 3 | wine vinegar | concentrated grape must | dye: e150d | preservative: potassium disulfite | chives 3 | shallot | garlic | aroma,Open Food Facts
3038359011481,Sauce basilic aux tomates fraîches de saison,tomato sauces with basil,7,fresh vegetables (onions | carrots | virgin olive oil | basil 1 | starch | onion extract | parsley,Open Food Facts
3478822005249,Ketchup,epicerie,4,purée de tomates | sucre de canne brut | vinaigre d'alcool | épices,Open Food Facts
8410076421449,Sauce apéritif Guacamole,groceries,25,mashed avocado | finely spicy | ngrédients : water | avocado | chopped tomatoes | onions | flour of wheat | preparation of cheese | cream | starch | modified maize | rapeseed oil | flakes of potato solids | mashed garlic extract | whey | juis of green lemon concentrate | siopde anhydrous glucose | correctors of acidity: glucono delta lactone | citric acid | jalapeno pepper | dehydrated herbs | dextrose | antioxidant: ascorbic acid | dyes chlorophyllins | lutein,Open Food Facts
8710605030051,Sriracha Sauce Hot Chilli Sauce,hot sauces,5,piments rouges | ail | correcteurs d'acidité (acide acétique | acide citrique | exhausteur de goût,Open Food Facts
